Date,Open,High,Low,Close,Adj Close,Volume,12-day EMA,26-day EMA,MACD line,Signal line,MACD histogram,Up,Down,SMA Up,SMA Down,RS,RSI
1/26/2016,15893.16016,16185.79004,15893.16016,16167.23047,16167.23047,118210000,16217.49105,16601.24025,-383.7491934,-358.8261188,-24.92307466,282.010742,0,73.86642029,144.6828265,0.510540346,33.7985243
1/27/2016,16168.74023,16235.03027,15878.29981,15944.45996,15944.45996,138350000,16175.48627,16552.58986,-377.1035853,-362.4816121,-14.62197325,0,222.770508,73.86642029,142.5842635,0.518054507,34.12621249
1/28/2016,15960.28027,16102.13965,15863.71973,16069.63965,16069.63965,130120000,16159.20217,16516.81577,-357.6135916,-361.508008,3.894416399,125.179687,0,82.8078265,114.5549666,0.722865442,41.95716184
1/29/2016,16090.25977,16466.30078,16090.25977,16466.30078,16466.30078,217940000,16206.44811,16513.07392,-306.6258014,-350.5315667,43.9057653,396.661133,0,111.1407646,102.5800084,1.08345443,52.00278991
2/1/2016,16453.63086,16510.98047,16299.46973,16449.17969,16449.17969,114450000,16243.79143,16508.34101,-264.5495765,-333.3351686,68.7855921,0,17.121093,107.417899,103.8029436,1.034825172,50.85572885
2/2/2016,16420.21094,16420.21094,16108.44043,16153.54004,16153.54004,126210000,16229.9066,16482.05946,-252.152853,-317.0987055,64.94585251,0,295.639649,99.01429971,124.9200614,0.792621286,44.21576895
2/3/2016,16186.2002,16381.69043,15960.4502,16336.66016,16336.66016,141870000,16246.33023,16471.28914,-224.9589109,-298.6707466,73.71183565,183.120117,0,112.0943081,98.86216521,1.133844356,53.13622584
2/4/2016,16329.66992,16485.83984,16266.16016,16416.58008,16416.58008,131490000,16272.52251,16467.23661,-194.7141032,-277.8794179,83.16531473,79.919922,0,101.542899,98.86216521,1.027115872,50.66882885
2/5/2016,16417.94922,16423.63086,16129.80957,16204.96973,16204.96973,139010000,16262.12978,16447.80944,-185.6796624,-259.4394668,73.75980442,0,211.610351,101.542899,86.05078121,1.180034598,54.12916836
2/8/2016,16147.50977,16147.50977,15803.54981,16027.04981,16027.04981,165880000,16225.96363,16416.64206,-190.6784315,-245.6872597,55.00882827,0,177.919922,99.54722379,98.75934707,1.007977743,50.19865119
2/9/2016,16005.41016,16136.62012,15881.11035,16014.37988,16014.37988,127740000,16193.41228,16386.84486,-193.4325784,-235.2363235,41.80374504,0,12.669922,99.54722379,81.85867743,1.216086393,54.87540544
2/10/2016,16035.61035,16201.88965,15899.91016,15914.74023,15914.74023,122290000,16150.53966,16351.87415,-201.3344881,-228.4559564,27.12146834,0,99.639649,91.26583421,88.97579521,1.025737775,50.63526917
2/11/2016,15897.82031,15897.82031,15503.00977,15660.17969,15660.17969,172070000,16075.09966,16300.63752,-225.537857,-227.8723365,2.334479558,0,254.560546,76.20654293,107.1586914,0.711155968,41.55997358
